time,temperature_2m,city
2025-05-15T01:00,6.3,Moscow
2025-05-15T02:00,5.8,Moscow
2025-05-15T03:00,4.9,Moscow
2025-05-15T04:00,4.7,Moscow
2025-05-15T05:00,4.5,Moscow
2025-05-15T06:00,5.2,Moscow
2025-05-15T07:00,7.4,Moscow
2025-05-15T08:00,9.9,Moscow
2025-05-15T09:00,13.2,Moscow
2025-05-15T10:00,14.5,Moscow
2025-05-15T11:00,15.5,Moscow
2025-05-15T12:00,16.7,Moscow
2025-05-15T13:00,16.7,Moscow
2025-05-15T14:00,17.2,Moscow
2025-05-15T15:00,18.1,Moscow
2025-05-15T16:00,18.4,Moscow
2025-05-15T17:00,18.2,Moscow
2025-05-15T18:00,18.3,Moscow
2025-05-15T19:00,17.7,Moscow
2025-05-15T20:00,16.4,Moscow
2025-05-15T21:00,15.2,Moscow
2025-05-15T22:00,14.0,Moscow
2025-05-15T23:00,13.1,Moscow
2025-05-16T00:00,12.7,Moscow
2025-05-16T01:00,11.8,Moscow
2025-05-16T02:00,11.1,Moscow
2025-05-16T03:00,10.4,Moscow
2025-05-16T04:00,9.8,Moscow
2025-05-16T05:00,9.7,Moscow
2025-05-16T06:00,10.6,Moscow
2025-05-16T07:00,11.9,Moscow
2025-05-16T08:00,13.8,Moscow
2025-05-16T09:00,16.0,Moscow
2025-05-16T10:00,18.1,Moscow
2025-05-16T11:00,19.9,Moscow
2025-05-16T12:00,20.8,Moscow
2025-05-16T13:00,21.2,Moscow
2025-05-16T14:00,21.7,Moscow
2025-05-16T15:00,22.7,Moscow
2025-05-16T16:00,22.7,Moscow
2025-05-16T17:00,21.8,Moscow
2025-05-16T18:00,21.0,Moscow
2025-05-16T19:00,20.2,Moscow
2025-05-16T20:00,19.1,Moscow
2025-05-16T21:00,17.5,Moscow
2025-05-16T22:00,16.4,Moscow
2025-05-16T23:00,15.7,Moscow
2025-05-17T00:00,14.8,Moscow
2025-05-17T01:00,14.1,Moscow
2025-05-17T02:00,13.5,Moscow
2025-05-17T03:00,11.5,Moscow
2025-05-17T04:00,11.3,Moscow
2025-05-17T05:00,11.1,Moscow
2025-05-17T06:00,11.6,Moscow
2025-05-17T07:00,13.3,Moscow
2025-05-17T08:00,15.2,Moscow
2025-05-17T09:00,17.3,Moscow
2025-05-17T10:00,18.8,Moscow
2025-05-17T11:00,20.1,Moscow
2025-05-17T12:00,21.1,Moscow
2025-05-17T13:00,20.5,Moscow
2025-05-17T14:00,20.2,Moscow
2025-05-17T15:00,21.5,Moscow
2025-05-17T16:00,21.2,Moscow
2025-05-17T17:00,21.3,Moscow
2025-05-17T18:00,20.5,Moscow
2025-05-17T19:00,19.9,Moscow
2025-05-17T20:00,18.7,Moscow
2025-05-17T21:00,17.0,Moscow
2025-05-17T22:00,16.0,Moscow
2025-05-17T23:00,15.4,Moscow
2025-05-18T00:00,14.7,Moscow
2025-05-18T01:00,14.2,Moscow
2025-05-18T02:00,13.9,Moscow
2025-05-18T03:00,14.2,Moscow
2025-05-18T04:00,13.8,Moscow
2025-05-18T05:00,13.5,Moscow
2025-05-18T06:00,14.1,Moscow
2025-05-18T07:00,15.5,Moscow
2025-05-18T08:00,17.5,Moscow
2025-05-18T09:00,18.7,Moscow
2025-05-18T10:00,19.8,Moscow
2025-05-18T11:00,20.1,Moscow
2025-05-18T12:00,20.8,Moscow
2025-05-18T13:00,20.2,Moscow
2025-05-18T14:00,19.7,Moscow
2025-05-18T15:00,18.5,Moscow
2025-05-18T16:00,15.6,Moscow
2025-05-18T17:00,15.0,Moscow
2025-05-18T18:00,14.1,Moscow
2025-05-18T19:00,13.3,Moscow
2025-05-18T20:00,12.8,Moscow
2025-05-18T21:00,12.6,Moscow
2025-05-18T22:00,12.4,Moscow
2025-05-18T23:00,12.3,Moscow
2025-05-19T00:00,12.6,Moscow
2025-05-19T01:00,12.4,Moscow
2025-05-19T02:00,12.3,Moscow
2025-05-19T03:00,12.4,Moscow
2025-05-19T04:00,12.3,Moscow
2025-05-19T05:00,12.3,Moscow
2025-05-19T06:00,12.5,Moscow
2025-05-19T07:00,12.9,Moscow
2025-05-19T08:00,13.5,Moscow
2025-05-19T09:00,13.7,Moscow
2025-05-19T10:00,14.7,Moscow
2025-05-19T11:00,16.0,Moscow
2025-05-19T12:00,15.5,Moscow
2025-05-19T13:00,16.2,Moscow
2025-05-19T14:00,16.7,Moscow
2025-05-19T15:00,16.0,Moscow
2025-05-19T16:00,15.2,Moscow
2025-05-19T17:00,15.0,Moscow
2025-05-19T18:00,14.9,Moscow
2025-05-19T19:00,14.3,Moscow
2025-05-19T20:00,13.6,Moscow
2025-05-19T21:00,12.9,Moscow
2025-05-19T22:00,12.0,Moscow
2025-05-19T23:00,11.7,Moscow
2025-05-20T00:00,11.4,Moscow
2025-05-20T01:00,11.0,Moscow
2025-05-20T02:00,10.7,Moscow
2025-05-20T03:00,10.3,Moscow
2025-05-20T04:00,10.1,Moscow
2025-05-20T05:00,10.1,Moscow
2025-05-20T06:00,10.6,Moscow
2025-05-20T07:00,11.0,Moscow
2025-05-20T08:00,10.8,Moscow
2025-05-20T09:00,10.8,Moscow
2025-05-20T10:00,11.0,Moscow
2025-05-20T11:00,11.9,Moscow
2025-05-20T12:00,13.1,Moscow
2025-05-20T13:00,13.9,Moscow
2025-05-20T14:00,13.9,Moscow
2025-05-20T15:00,15.7,Moscow
2025-05-20T16:00,16.5,Moscow
2025-05-20T17:00,17.0,Moscow
2025-05-20T18:00,17.8,Moscow
2025-05-20T19:00,17.1,Moscow
2025-05-20T20:00,15.4,Moscow
2025-05-20T21:00,13.9,Moscow
2025-05-20T22:00,13.2,Moscow
2025-05-20T23:00,12.8,Moscow
2025-05-21T00:00,12.6,Moscow
2025-05-21T01:00,11.6,Moscow
2025-05-21T02:00,11.0,Moscow
2025-05-21T03:00,10.5,Moscow
2025-05-21T04:00,10.2,Moscow
2025-05-21T05:00,10.3,Moscow
2025-05-21T06:00,11.1,Moscow
2025-05-21T07:00,12.7,Moscow
2025-05-21T08:00,14.7,Moscow
2025-05-21T09:00,16.8,Moscow
2025-05-21T10:00,18.5,Moscow
2025-05-21T11:00,19.3,Moscow
2025-05-21T12:00,19.6,Moscow
2025-05-21T13:00,18.6,Moscow
2025-05-21T14:00,19.1,Moscow
2025-05-21T15:00,20.1,Moscow
2025-05-21T16:00,19.8,Moscow
2025-05-21T17:00,19.4,Moscow
2025-05-21T18:00,19.2,Moscow
2025-05-21T19:00,18.4,Moscow
2025-05-21T20:00,17.2,Moscow
2025-05-21T21:00,15.7,Moscow
2025-05-21T22:00,15.1,Moscow
2025-05-21T23:00,14.4,Moscow
2025-05-22T00:00,12.1,Moscow
2025-05-22T01:00,11.5,Moscow
2025-05-22T02:00,10.5,Moscow
2025-05-22T03:00,8.9,Moscow
2025-05-22T04:00,8.3,Moscow
2025-05-22T05:00,8.0,Moscow
2025-05-22T06:00,9.2,Moscow
2025-05-22T07:00,11.4,Moscow
2025-05-22T08:00,13.8,Moscow
2025-05-22T09:00,17.4,Moscow
2025-05-22T10:00,18.6,Moscow
2025-05-22T11:00,19.7,Moscow
2025-05-22T12:00,20.2,Moscow
2025-05-22T13:00,21.1,Moscow
2025-05-22T14:00,21.7,Moscow
2025-05-22T15:00,22.3,Moscow
2025-05-22T16:00,22.6,Moscow
2025-05-22T17:00,22.7,Moscow
2025-05-22T18:00,22.9,Moscow
2025-05-22T19:00,22.3,Moscow
2025-05-22T20:00,20.8,Moscow
2025-05-22T21:00,18.0,Moscow
2025-05-22T22:00,16.6,Moscow
2025-05-22T23:00,15.7,Moscow
2025-05-23T00:00,14.1,Moscow
2025-05-23T01:00,13.5,Moscow
2025-05-23T02:00,13.0,Moscow
2025-05-23T03:00,12.0,Moscow
2025-05-23T04:00,12.2,Moscow
2025-05-23T05:00,12.1,Moscow
2025-05-23T06:00,12.9,Moscow
2025-05-23T07:00,15.0,Moscow
2025-05-23T08:00,17.7,Moscow
2025-05-23T09:00,21.3,Moscow
2025-05-23T10:00,23.4,Moscow
2025-05-23T11:00,24.9,Moscow
2025-05-23T12:00,24.9,Moscow
2025-05-23T13:00,25.4,Moscow
2025-05-23T14:00,25.5,Moscow
2025-05-23T15:00,25.6,Moscow
2025-05-23T16:00,25.4,Moscow
2025-05-23T17:00,25.4,Moscow
2025-05-23T18:00,25.1,Moscow
2025-05-23T19:00,24.3,Moscow
2025-05-23T20:00,22.8,Moscow
2025-05-23T21:00,21.6,Moscow
2025-05-23T22:00,20.4,Moscow
2025-05-23T23:00,19.5,Moscow
2025-05-24T00:00,16.6,Moscow
2025-05-24T01:00,16.0,Moscow
2025-05-24T02:00,15.3,Moscow
2025-05-24T03:00,12.9,Moscow
2025-05-24T04:00,12.5,Moscow
2025-05-24T05:00,12.1,Moscow
2025-05-24T06:00,13.8,Moscow
2025-05-24T07:00,16.7,Moscow
2025-05-24T08:00,20.0,Moscow
2025-05-24T09:00,23.6,Moscow
2025-05-24T10:00,25.4,Moscow
2025-05-24T11:00,25.9,Moscow
2025-05-24T12:00,26.2,Moscow
2025-05-24T13:00,26.7,Moscow
2025-05-24T14:00,26.9,Moscow
2025-05-24T15:00,26.8,Moscow
2025-05-24T16:00,26.7,Moscow
2025-05-24T17:00,26.5,Moscow
2025-05-24T18:00,26.2,Moscow
2025-05-24T19:00,25.2,Moscow
2025-05-24T20:00,23.1,Moscow
2025-05-24T21:00,21.9,Moscow
2025-05-24T22:00,20.6,Moscow
2025-05-24T23:00,19.5,Moscow
2025-05-25T00:00,17.4,Moscow
2025-05-25T01:00,17.2,Moscow
2025-05-25T02:00,16.3,Moscow
2025-05-25T03:00,14.6,Moscow
2025-05-25T04:00,14.1,Moscow
2025-05-25T05:00,13.8,Moscow
2025-05-25T06:00,15.3,Moscow
